1,N,1,I,Md.124,1643,Airpark Rd.,2453,Fieldcrest Rd.,45,|,43.1,,A,95,,0,,95,,43.1,0,13,,14%,,|,33.6,,A,122,,7,,115,,35.6,12,28,,33%,,,,
1,S,1,S,Md.124,1742,Brink Rd.,1561,Warfield Rd.,35,|,36.8,,A,130,,0,,130,,36.8,0,10,,8%,,|,34.9,,B,137,,0,,137,,34.9,1,16,,12%,,,,
1,N,1,S,Md.124,2453,Fieldcrest Rd.,1561,Warfield Rd.,45,|,46.4,,A,53,,0,,53,,46.4,0,4,,8%,,|,43.2,,A,57,,0,,57,,43.2,0,8,,14%,,,,
1,S,1,S,Md.124,1922,Sweepstakes Rd.,1742,Brink Rd.,40,|,39.8,,A,364,,0,,364,,39.8,4,38,,12%,,|,39.1,,A,371,,6,,365,,39.7,10,39,,13%,,,,
1,S,1,S,Md.124,1561,Warfield Rd.,2453,Fieldcrest Rd.,45,|,28.5,,B,84,,17,,67,,35.7,24,12,,43%,,|,40.6,,A,59,,0,,59,,40.6,0,11,,19%,,,,
1,N,1,S,Md.124,1561,Warfield Rd.,1742,Brink Rd.,35,|,36.8,,A,128,,0,,128,,36.8,0,10,,8%,,|,38,,A,124,,0,,124,,38,0,6,,5%,,,,
1,S,1,S,Md.124,7001,Hawkins Creamer,1922,Sweepstakes Rd.,40,|,39.1,,A,84,,0,,84,,39.1,0,11,,13%,,|,39.5,,A,83,,0,,83,,39.5,0,10,,12%,,,,
1,E,1,S,Md.190,2398,Esworthy Rd.,2325,Piney Metinghse,45,|,43.8,,A,135,,0,,135,,43.8,0,17,,13%,,|,17.7,,D,335,,160,,175,,33.8,175,42,,65%,,,,
1,W,1,S,Md.190,2325,Piney Metinghse,2398,Esworthy Rd.,45,|,42,,A,130,,0,,130,,42,0,21,,16%,,|,38.7,,A,141,,5,,136,,40.1,13,19,,23%,,,,
1,E,2,S,Md.198,2356,Old Columbia Pk,2357,U.S.29,30,|,9.8,,F,121,,69,,52,,22.7,74,13,,72%,,|,23.2,,C,51,,4,,47,,25.2,12,5,,33%,,,,
1,W,1,S,Md.198,4724,Old Gunp. Rd.,2357,U.S.29,45,|,23.6,,C,253,,79,,174,,34.3,91,43,,53%,,|,36,,A,166,,4,,162,,36.8,10,37,,28%,,,,
