LINKID,LENGTH,ROUTETYP,AREACODE,LANES,VDF,LINKFLOW,SPEED,LANEFLOW,DELAY,SPEEDFF,LLENGTH,LSPEED,LSPEEDFF,LLANES,LLANEFLO,LDELAY,VCR,VCR2,VCR3,VCR4,INBELT,RURAL,LOSTSPD,VCR5,VCR6,VCR7,LANES1,LANES2,LANES3,LANES4,TIMECONG,TIMEFF,LINKDEL,LINKDELRAT,ESTSPD,SQDERR,SQRTLEN,DELPMIL,RT4,RT3,RT2,ESTTIME,ACTTIME,ACTTIMFF,FLOWDEL,APPRDEL
15012355,0.3400000000000001,2,42,1,9,520.89,36,520.89,0.07,38,-1.0788096613719298,3.58351893845611,3.6375861597263857,0,6.255538887024156,-2.659260036932778,0.34726,0.1205895076,0.04187591240917601,0.014541829343210461,0,0,2,0.005049795657723265,0.0017535920401009811,0.0006089523718454667,1,0,0,0,0.5666666666666669,0.536842105263158,0.029824561403508865,0.0555555555555558,28.277630000000002,59.63499841689997,0.5830951894845301,0.20588235294117643,0,0,1,0.7214183083943033,0.5666666666666669,0.536842105263158,0.061063806402560705,0.007668960748961173
15022355,0.24,2,43,1,9,739.14,37,739.14,0.1,41,-1.4271163556401458,3.6109179126442243,3.713572066704308,0,6.605487348201938,-2.3025850929940455,0.49276,0.24281241759999997,0.11964824689657598,0.05895787014075678,0,0,4,0.029052080090559308,0.014315702985424004,0.007054205803097532,1,0,0,0,0.38918918918918916,0.35121951219512193,0.037969676994067225,0.10810810810810811,28.33362,75.10614230440001,0.4898979485566356,0.4166666666666667,0,0,1,0.5082301520243442,0.38918918918918916,0.35121951219512193,0.05884949406440282,0.007668166912309093
15022360,1.07,2,43,1,9,433.62,36,433.62,0.22,38,0.06765864847381486,3.58351893845611,3.6375861597263857,0,6.072168574522944,-1.5141277326297755,0.28908,0.0835672464,0.024157619589312,0.006983484670878313,0,0,2,0.0020187857486575027,0.0005835905842219109,0.00016870436608687,1,0,0,0,1.7833333333333334,1.6894736842105265,0.09385964912280698,0.05555555555555558,29.982219999999998,36.213676128400024,1.03440804327886,0.205607476635514,0,0,1,2.141269058795513,1.7833333333333334,1.6894736842105265,0.14493785533405124,0.06609213509389855
15072353,0.94,2,49,1,20,692.58,29,692.58,0.85,40,-0.06187540371808753,3.367295829986474,3.6888794541139363,0,6.540423754854876,-0.16251892949777494,0.46172,0.21318535840000002,0.09843194368044801,0.04544799703613646,0,0,11,0.020984249191524928,0.00968884753671089,0.004473534684650152,1,0,0,0,1.9448275862068964,1.41,0.5348275862068965,0.3793103448275863,26.58102,5.851464240400006,0.9695359714832658,0.9042553191489362,0,0,1,2.1218147384863335,1.9448275862068964,1.41,0.24542813369890482,0.2586091150146206
15073218,0.51,2,49,1,19,5.94,29,5.94,0,33,-0.6733445532637656,3.367295829986474,3.4965075614664802,0,1.7817091333745536,,0.00396,1.56816e-05,6.2099136e-08,0,0,0,4,0,0,0,1,0,0,0,1.0551724137931036,0.9272727272727274,0.1278996865203762,0.13793103448275867,29.03778,0.0014273284000001117,0.714142842854285,0,0,0,1,1.0537995673222953,1.0551724137931036,0.9272727272727274,0.001081033172168011,0
15113304,0.78,2,49,1,8,552,38,552,0,38,-0.2484613592984996,3.6375861597263857,3.4965075614664802,0,6.313548046277095,,0.368,0.135424,0.049836031999999995,0.018339659775999998,0,0,-5,0.006748994797567999,0.0024836300855050238,0.0009139758714658487,1,0,0,0,1.231578947368421,1.231578947368421,0,0,29.59744,70.60301455360002,0.8831760866327847,0,0,0,1,1.581217835056005,1.231578947368421,1.231578947368421,0.13536680961396996,0
15143304,0.36,2,49,1,8,1121.12,16,1121.12,0.13,39,-1.0216512475319814,2.772588722239781,3.6635616461296463,0,7.022083464622224,-2.0402208285265546,0.7474133333333333,0.5586266908444444,0.41752503709301564,0.31206377972381444,0,0,23,0.2332406298159752,0.17432715659952408,0.1302944412045723,1,0,0,0,1.3499999999999999,0.5538461538461538,0.7961538461538461,1.4375,25.57852,91.74804539040002,0.6,0.36111111111111116,0,0,1,0.8444585535050502,1.3499999999999999,0.5538461538461538,0.15229600236000573,0.018226600925929315
15151803,0.25,2,49,1,19,656.5,32,656.5,0,33,-1.3862943611198906,3.4657359027997265,3.4965075614664802,0,6.486922693742851,,0.43766666666666665,0.1915521111111111,0.08383597396296295,0.03669221127112345,0,0,1,0.016058957799661697,0.007028470530318603,0.0030761272687694417,1,0,0,0,0.46875,0.45454545454545453,0.01420454545454547,0.03125,25.0965,47.658312250000016,0.5,0,0,0,1,0.5976929053852131,0.46875,0.45454545454545453,0.06937748840170399,0
15153303,0.42,2,49,1,17,899.64,21,899.64,0.02,32,-0.8675005677047231,3.044522437723423,3.4657359027997265,0,6.801994683302971,-3.912023005428146,0.59976,0.35971205759999997,0.21574090366617596,0.12939276438282568,0,0,11,0.07760460436624353,0.046544137514698214,0.027915311915815397,1,0,0,0,1.2,0.7875,0.4125,0.5238095238095237,23.72732,7.438274382399994,0.648074069840786,0.04761904761904762,0,0,1,1.0620668495219856,1.2,0.7875,0.169826561338003,0.003871532432667024
15162362,0.46,2,49,1,19,629.34,24,629.34,1.08,30,-0.7765287894989963,3.1780538303479458,3.4011973816621555,0,6.444671651201568,0.0769610411361284,0.41956000000000004,0.17603059360000003,0.07385539585081602,0.030986769883168373,0,0,6,0.013000809172182123,0.005454619496280732,0.002288540155859544,1,0,0,0,1.1500000000000001,0.92,0.2300000000000001,0.25,19.45682,20.640484512399997,0.6782329983125268,2.347826086956522,0,0,1,1.418525740588647,1.1500000000000001,0.92,0.1981565477795646,0.2754090558099316
15191520,1.56,2,43,1,17,105.73,41,105.73,0,47,0.44468582126144574,3.713572066704308,3.8501476017100584,0,4.660888674744435,,0.07048666666666667,0.004968370177777778,0.0003502038525976297,2.4684702223431594e-05,0,0,6,1.7399423773889484e-06,1.2264273837422236e-07,8.64467781887102e-09,1,0,0,0,2.282926829268293,1.9914893617021279,0.29143746756616506,0.14634146341463405,38.52923,6.104704392900008,1.2489995996796797,0,0,0,1,2.4293244375763545,2.282926829268293,1.9914893617021279,0.03301074223344669,0
15201519,1.56,2,43,1,17,487.91,47,487.91,0,47,0.44468582126144574,3.8501476017100584,3.8501476017100584,0,6.190130962615031,,0.32527333333333336,0.1058027413777778,0.03441481036375438,0.011194220083052934,0,0,0,0.0036411812804815714,0.0011843791723731758,0.0003852469613283975,1,0,0,0,1.9914893617021279,1.9914893617021279,0,0,36.61833,107.7790719889,1.2489995996796797,0,0,0,1,2.556096905566147,1.9914893617021279,1.9914893617021279,0.1602520500150888,0
